Date,AAPL,MSFT,GOOGL,AMZN,META,SPY,AGG
2023-02-28,0.02318283901402296,0.009017818278654444,-0.08883040311388846,-0.08629878923214462,0.17433048323491063,-0.025142559416715282,-0.026656822795808277
2023-03-31,0.11864874642861767,0.155881799817694,0.1517877464555102,0.0961476943206232,0.21150102790940384,0.03707769637696079,0.02641261239295889
2023-04-30,0.028987317698391468,0.06576471903875625,0.03480190064361155,0.02091195675834423,0.1339058241893889,0.015974949039516906,0.005754955354424274
2023-05-31,0.046058293498846714,0.07110558517349808,0.14468039300490476,0.14348037288458837,0.1015313379917675,0.004616158772851486,-0.011442995597674144
2023-06-30,0.09432997989044534,0.036998741804169955,-0.025799596999896424,0.08110796675057008,0.08408884922424043,0.06479981318392425,-0.0036821845126739916
2023-07-31,0.012785458631345836,-0.013566659975946083,0.10877190423708738,0.025467873963526566,0.11018185785275292,0.0327332564258318,-0.00015343857747440737
2023-08-31,-0.0423838618464869,-0.02222588012251947,0.02599451383086704,0.0323907994336623,-0.07128055855310644,-0.016252013059324,-0.0063132933392245905
2023-09-30,-0.08867831531002968,-0.036642535024625555,-0.038995240897712224,-0.07890726899285905,0.014599804448324427,-0.04743448893790059,-0.025896004922082216
2023-10-31,-0.0025698980524303527,0.07081541148956583,-0.05181113309260954,0.046963447626806376,0.003530974214388083,-0.021708626572478962,-0.01570637609236558
2023-11-30,0.11378025670610281,0.12294546382632232,0.06810116663275667,0.0976782655173829,0.08590304204160715,0.0913437967129469,0.045929053824639965
2023-12-31,0.013582474798946587,-0.00757426627110136,0.054025518961270835,0.04004385139407618,0.08195027051039228,0.045655332734381604,0.036976520359081944
